"No.","Time","Source","Destination","Protocol","Dist_port","Source_port"
"1","0.000000","5.255.255.70","100.114.136.7","TLSv1.2","33666","443"
"2","0.000028","100.114.136.7","5.255.255.70","TCP","443","33666"
"3","0.017800","100.114.136.7","95.179.184.34","TCP","1194","56444"
"4","0.138965","95.179.184.34","100.114.136.7","TCP","56444","1194"
"5","0.490068","95.179.184.34","100.114.136.7","TCP","56444","1194"
"6","0.490110","100.114.136.7","95.179.184.34","TCP","1194","56444"
"7","0.490728","100.114.136.7","95.179.184.34","TCP","1194","56444"
"8","0.661051","95.179.184.34","100.114.136.7","TCP","56444","1194"
"9","1.837182","100.114.136.7","87.250.250.119","TCP","443","56850"
"10","1.919091","87.250.250.119","100.114.136.7","TCP","56850","443"
"11","3.373175","100.114.136.7","77.88.21.119","TCP","443","45510"
"12","3.469029","77.88.21.119","100.114.136.7","TCP","45510","443"
"13","4.397173","100.114.136.7","217.69.136.176","TCP","443","57930"
"14","4.661960","100.114.136.7","172.217.0.163","TLSv1.2","443","43324"
"15","4.662215","100.114.136.7","172.217.0.163","TLSv1.2","443","43324"
"16","4.662233","100.114.136.7","172.217.0.163","TCP","443","43324"
"17","4.882006","172.217.0.163","100.114.136.7","TCP","43324","443"
"18","4.884966","172.217.0.163","100.114.136.7","TCP","43324","443"
"19","4.884967","172.217.0.163","100.114.136.7","TCP","43324","443"
"20","4.885024","100.114.136.7","172.217.0.163","TCP","443","43324"
"21","5.111011","100.114.136.7","5.255.255.70","TLSv1.2","443","33666"
"22","5.192969","5.255.255.70","100.114.136.7","TLSv1.2","33666","443"
"23","5.193017","100.114.136.7","5.255.255.70","TCP","443","33666"
"24","5.421132","100.114.136.7","217.69.136.176","TCP","443","57930"
"25","5.491015","217.69.136.176","100.114.136.7","TCP","57930","443"
"26","6.270002","77.88.21.119","100.114.136.7","TLSv1.2","45510","443"
"27","6.270033","100.114.136.7","77.88.21.119","TCP","443","45510"
"28","6.270003","77.88.21.119","100.114.136.7","TCP","45510","443"
"29","6.270254","100.114.136.7","77.88.21.119","TLSv1.2","443","45510"
"30","6.270301","100.114.136.7","77.88.21.119","TCP","443","45510"
"31","6.342073","77.88.21.119","100.114.136.7","TCP","45510","443"
"32","6.344053","77.88.21.119","100.114.136.7","TCP","45510","443"
"33","7.255149","95.179.184.34","100.114.136.7","TCP","56444","1194"
"34","7.297176","100.114.136.7","95.179.184.34","TCP","1194","56444"
